Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"June 15, 2025",3586,Find COVID Recovery Patients,2215,https://leetcode.com/problems/find-covid-recovery-patients/,,database
"June 15, 2025",3585,Find Weighted Median Node in Tree,2398,https://leetcode.com/problems/find-weighted-median-node-in-tree/,Weekly Contest 454,"array, binary search, depth-first search, dynamic programming, tree"
"June 15, 2025",3584,Maximum Product of First and Last …Elements of a Subsequence,1709,https://leetcode.com/problems/maximum-product-of-first-and-last-elements-of-a-subsequence/,Weekly Contest 454,"array, two pointers"
"June 15, 2025",3583,Count Special Triplets,1395,https://leetcode.com/problems/count-special-triplets/,Weekly Contest 454,"array, counting, hash table"
"June 15, 2025",3582,Generate Tag for Video Caption,752,https://leetcode.com/problems/generate-tag-for-video-caption/,Weekly Contest 454,"simulation, string"
"June 15, 2025",3581,Count Odd Letters from Number,1204,https://leetcode.com/problems/count-odd-letters-from-number/,,"counting, hash table, simulation, string"
"June 8, 2025",3580,Find Consistently Improving Employees,1971,https://leetcode.com/problems/find-consistently-improving-employees/,,database
"June 8, 2025",3579,Minimum Steps to Convert String with Operations,2476,https://leetcode.com/problems/minimum-steps-to-convert-string-with-operations/,Weekly Contest 453,"dynamic programming, greedy, string"
"June 8, 2025",3578,Count Partitions With Max-Min Difference at Most K,1957,https://leetcode.com/problems/count-partitions-with-max-min-difference-at-most-k/,Weekly Contest 453,"array, dynamic programming, monotonic queue, prefix sum, queue, sliding window"
"June 8, 2025",3577,Count the Number of Comput…er Unlocking Permutations,1644,https://leetcode.com/problems/count-the-number-of-computer-unlocking-permutations/,Weekly Contest 453,"array, brainteaser, combinatorics, math"
"June 8, 2025",3576,Transform Array to All Equal Elements,1123,https://leetcode.com/problems/transform-array-to-all-equal-elements/,Weekly Contest 453,"array, greedy"
"June 7, 2025",3575,Maximum Good Subtree Score,2350,https://leetcode.com/problems/maximum-good-subtree-score/,Biweekly Contest 158,"array, bit manipulation, bitmask, depth-first search, dynamic programming, tree"
"June 7, 2025",3574,Maximize Subarray GCD Score,2252,https://leetcode.com/problems/maximize-subarray-gcd-score/,Biweekly Contest 158,"array, enumeration, math, number theory"
"June 7, 2025",3573,Best Time to Buy and Sell Stock V,1734,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-v/,Biweekly Contest 158,"array, dynamic programming"
"June 7, 2025",3572,Maximize Y‑Sum by Picking a Tri…plet of Distinct X‑Values,608,https://leetcode.com/problems/maximize-ysum-by-picking-a-triplet-of-distinct-xvalues/,Biweekly Contest 158,"array, greedy, hash table, heap (priority queue), sorting"
yesterday,3571,Find the Shortest Superstring II,1403.0,https://leetcode.com/problems/find-the-shortest-superstring-ii/,,
"June 2, 2025",3570,Find Books with No Available Copies,1197.0,https://leetcode.com/problems/find-books-with-no-available-copies/,,database
"June 1, 2025",3569,Maximize Count of Distinct Primes After Split,2543.0,https://leetcode.com/problems/maximize-count-of-distinct-primes-after-split/,Weekly Contest 452,"array, math, number theory, segment tree"
"June 1, 2025",3568,Minimum Moves to Clean the Classroom,2042.0,https://leetcode.com/problems/minimum-moves-to-clean-the-classroom/,Weekly Contest 452,"array, bit manipulation, breadth-first search, hash table, matrix"
"June 1, 2025",3567,Minimum Absolute Difference in Sliding Submatrix,1392.0,https://leetcode.com/problems/minimum-absolute-difference-in-sliding-submatrix/,Weekly Contest 452,"array, matrix, sorting"
"June 1, 2025",3566,Partition Array into Two Equal Product Subsets,1036.0,https://leetcode.com/problems/partition-array-into-two-equal-product-subsets/,Weekly Contest 452,"array, bit manipulation, enumeration, recursion"
yesterday,3565,Sequential Grid Path Cover,1885.0,https://leetcode.com/problems/sequential-grid-path-cover/,,
"May 25, 2025",3564,Seasonal Sales Analysis,1956.0,https://leetcode.com/problems/seasonal-sales-analysis/,,database
"May 25, 2025",3563,Lexicographically Smallest Strin…g After Adjacent Removals,2488.0,https://leetcode.com/problems/lexicographically-smallest-string-after-adjacent-removals/,Weekly Contest 451,
"May 25, 2025",3562,Maximum Profit from Trading Stocks with Discounts,2382.0,https://leetcode.com/problems/maximum-profit-from-trading-stocks-with-discounts/,Weekly Contest 451,
"May 25, 2025",3561,Resulting String After Adjacent Removals,1210.0,https://leetcode.com/problems/resulting-string-after-adjacent-removals/,Weekly Contest 451,
"May 25, 2025",3560,Find Minimum Log Transportation Cost,1049.0,https://leetcode.com/problems/find-minimum-log-transportation-cost/,Weekly Contest 451,
"May 24, 2025",3559,Number of Ways to Assign Edge Weights II,2024.0,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-ii/,Biweekly Contest 157,"array, depth-first search, dynamic programming, math, tree"
"May 24, 2025",3558,Number of Ways to Assign Edge Weights I,1711.0,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-i/,Biweekly Contest 157,"depth-first search, math, tree"
"May 24, 2025",3557,Find Maximum Number of Non Intersecting Substrings,1611.0,https://leetcode.com/problems/find-maximum-number-of-non-intersecting-substrings/,Biweekly Contest 157,"dynamic programming, greedy, hash table, string"
"May 24, 2025",3556,Sum of Largest Prime Substrings,963.0,https://leetcode.com/problems/sum-of-largest-prime-substrings/,Biweekly Contest 157,"hash table, math, number theory, sorting, string"
yesterday,3555,Smallest Subarray to Sort in Every Sliding Window,1994.0,https://leetcode.com/problems/smallest-subarray-to-sort-in-every-sliding-window/,,
"May 19, 2025",3554,Find Category Recommendation Pairs,2608.0,https://leetcode.com/problems/find-category-recommendation-pairs/,,database
"May 18, 2025",3553,Minimum Weighted Subgraph W…ith the Required Paths II,2345.0,https://leetcode.com/problems/minimum-weighted-subgraph-with-the-required-paths-ii/,Weekly Contest 450,"array, depth-first search, tree"
"May 18, 2025",3552,Grid Teleportation Traversal,2015.0,https://leetcode.com/problems/grid-teleportation-traversal/,Weekly Contest 450,"array, breadth-first search, hash table, matrix"
"May 18, 2025",3551,Minimum Swaps to Sort by Digit Sum,1434.0,https://leetcode.com/problems/minimum-swaps-to-sort-by-digit-sum/,Weekly Contest 450,"array, hash table, sorting"
"May 18, 2025",3550,Smallest Index With Digit Sum Equal to Index,515.0,https://leetcode.com/problems/smallest-index-with-digit-sum-equal-to-index/,Weekly Contest 450,"array, math"
yesterday,3549,Multiply Two Polynomials,2641.0,https://leetcode.com/problems/multiply-two-polynomials/,,
"May 11, 2025",3548,Equal Sum Grid Partition II,2270.0,https://leetcode.com/problems/equal-sum-grid-partition-ii/,Weekly Contest 449,"array, enumeration, hash table, matrix, prefix sum"
"May 11, 2025",3547,Maximum Sum of Edge Values in a Graph,2365.0,https://leetcode.com/problems/maximum-sum-of-edge-values-in-a-graph/,Weekly Contest 449,"depth-first search, graph, greedy, sorting"
"May 11, 2025",3546,Equal Sum Grid Partition I,1286.0,https://leetcode.com/problems/equal-sum-grid-partition-i/,Weekly Contest 449,"array, enumeration, matrix, prefix sum"
"May 11, 2025",3545,Minimum Deletions for At M…ost K Distinct Characters,583.0,https://leetcode.com/problems/minimum-deletions-for-at-most-k-distinct-characters/,Weekly Contest 449,"counting, greedy, hash table, sorting, string"
"May 10, 2025",3544,Subtree Inversion Sum,2547.0,https://leetcode.com/problems/subtree-inversion-sum/,Biweekly Contest 156,"array, depth-first search, dynamic programming, tree"
"May 10, 2025",3543,Maximum Weighted K-Edge Path,2122.0,https://leetcode.com/problems/maximum-weighted-k-edge-path/,Biweekly Contest 156,"dynamic programming, graph, hash table"
"May 10, 2025",3542,Minimum Operations to Convert All Elements to Zero,1885.0,https://leetcode.com/problems/minimum-operations-to-convert-all-elements-to-zero/,Biweekly Contest 156,"array, greedy, hash table, monotonic stack, stack"
"May 10, 2025",3541,Find Most Frequent Vowel and Consonant,416.0,https://leetcode.com/problems/find-most-frequent-vowel-and-consonant/,Biweekly Contest 156,"counting, hash table, string"
yesterday,3540,Minimum Time to Visit All Houses,1874.0,https://leetcode.com/problems/minimum-time-to-visit-all-houses/,,
"May 4, 2025",3539,Find Sum of Array Product of Magical Sequences,2685.0,https://leetcode.com/problems/find-sum-of-array-product-of-magical-sequences/,Weekly Contest 448,
"May 4, 2025",3538,Merge Operations for Minimum Travel Time,2460.0,https://leetcode.com/problems/merge-operations-for-minimum-travel-time/,Weekly Contest 448,
"May 4, 2025",3537,Fill a Special Grid,1482.0,https://leetcode.com/problems/fill-a-special-grid/,Weekly Contest 448,
"May 4, 2025",3536,Maximum Product of Two Digits,566.0,https://leetcode.com/problems/maximum-product-of-two-digits/,Weekly Contest 448,
yesterday,3535,Unit Conversion II,2027.0,https://leetcode.com/problems/unit-conversion-ii/,,
"April 27, 2025",3534,Path Existence Queries in a Graph II,,https://leetcode.com/problems/path-existence-queries-in-a-graph-ii/,Weekly Contest 447,
"April 27, 2025",3533,Concatenated Divisibility,,https://leetcode.com/problems/concatenated-divisibility/,Weekly Contest 447,
"April 27, 2025",3532,Path Existence Queries in a Graph I,,https://leetcode.com/problems/path-existence-queries-in-a-graph-i/,Weekly Contest 447,
"April 27, 2025",3531,Count Covered Buildings,,https://leetcode.com/problems/count-covered-buildings/,Weekly Contest 447,
"April 26, 2025",3530,Maximum Profit from Valid Topological Order in DAG,2272.0,https://leetcode.com/problems/maximum-profit-from-valid-topological-order-in-dag/,Biweekly Contest 155,
"April 26, 2025",3529,Count Cells in Overlapping Horizonta…l and Vertical Substrings,2084.0,https://leetcode.com/problems/count-cells-in-overlapping-horizontal-and-vertical-substrings/,Biweekly Contest 155,
"April 26, 2025",3528,Unit Conversion I,1434.0,https://leetcode.com/problems/unit-conversion-i/,Biweekly Contest 155,
"April 26, 2025",3527,Find the Most Common Response,604.0,https://leetcode.com/problems/find-the-most-common-response/,Biweekly Contest 155,
yesterday,3526,Range XOR Queries with Subarray Reversals,2511.0,https://leetcode.com/problems/range-xor-queries-with-subarray-reversals/,,
"April 20, 2025",3525,Find X Value of Array II,2487.0,https://leetcode.com/problems/find-x-value-of-array-ii/,Weekly Contest 446,
"April 20, 2025",3524,Find X Value of Array I,1976.0,https://leetcode.com/problems/find-x-value-of-array-i/,Weekly Contest 446,
"April 20, 2025",3523,Make Array Non-decreasing,1314.0,https://leetcode.com/problems/make-array-non-decreasing/,Weekly Contest 446,
"April 20, 2025",3522,Calculate Score After Performing Instructions,743.0,https://leetcode.com/problems/calculate-score-after-performing-instructions/,Weekly Contest 446,
"April 17, 2025",3521,Find Product Recommendation Pairs,1971.0,https://leetcode.com/problems/find-product-recommendation-pairs/,,database
yesterday,3520,Minimum Threshold for Inversion Pairs Count,1899.0,https://leetcode.com/problems/minimum-threshold-for-inversion-pairs-count/,,
"April 13, 2025",3519,Count Numbers with Non-Decreasing Digits,2184.0,https://leetcode.com/problems/count-numbers-with-non-decreasing-digits/,Weekly Contest 445,"dynamic programming, math, string"
"April 13, 2025",3518,Smallest Palindromic Rearrangement II,2307.0,https://leetcode.com/problems/smallest-palindromic-rearrangement-ii/,Weekly Contest 445,"combinatorics, counting, hash table, math, string"
"April 13, 2025",3517,Smallest Palindromic Rearrangement I,1231.0,https://leetcode.com/problems/smallest-palindromic-rearrangement-i/,Weekly Contest 445,"counting sort, sorting, string"
"April 13, 2025",3516,Find Closest Person,549.0,https://leetcode.com/problems/find-closest-person/,Weekly Contest 445,math
"April 12, 2025",3515,Shortest Path in a Weighted Tree,2256.0,https://leetcode.com/problems/shortest-path-in-a-weighted-tree/,Biweekly Contest 154,"array, binary indexed tree, depth-first search, segment tree, tree"
"April 12, 2025",3514,Number of Unique XOR Triplets II,1863.0,https://leetcode.com/problems/number-of-unique-xor-triplets-ii/,Biweekly Contest 154,"array, bit manipulation, enumeration, math"
"April 12, 2025",3513,Number of Unique XOR Triplets I,1624.0,https://leetcode.com/problems/number-of-unique-xor-triplets-i/,Biweekly Contest 154,"array, bit manipulation, math"
"April 12, 2025",3512,Minimum Operations to Make …Array Sum Divisible by K,547.0,https://leetcode.com/problems/minimum-operations-to-make-array-sum-divisible-by-k/,Biweekly Contest 154,"array, math"
yesterday,3511,Make a Positive Array,2172.0,https://leetcode.com/problems/make-a-positive-array/,,
"April 6, 2025",3510,Minimum Pair Removal to Sort Array II,2502.0,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-ii/,Weekly Contest 444,
"April 6, 2025",3509,Maximum Product of Subsequences With an A…lternating Sum Equal to K,2607.0,https://leetcode.com/problems/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k/,Weekly Contest 444,
"April 6, 2025",3508,Implement Router,1777.0,https://leetcode.com/problems/implement-router/,Weekly Contest 444,
"April 6, 2025",3507,Minimum Pair Removal to Sort Array I,685.0,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-i/,Weekly Contest 444,
yesterday,3506,Find Time Required to Elimi…nate Bacterial Strains II,2511.0,https://leetcode.com/problems/find-time-required-to-eliminate-bacterial-strains-ii/,,
"March 30, 2025",3505,Minimum Operations to Make Elements …Within K Subarrays Equal,2482.0,https://leetcode.com/problems/minimum-operations-to-make-elements-within-k-subarrays-equal/,Weekly Contest 443,"array, dynamic programming, hash table, heap (priority queue), math, sliding window"
"March 30, 2025",3504,Longest Palindrome After S…ubstring Concatenation II,2381.0,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-ii/,Weekly Contest 443,"dynamic programming, string, two pointers"
"March 30, 2025",3503,Longest Palindrome After Substring Concatenation I,1477.0,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-i/,Weekly Contest 443,"dynamic programming, enumeration, string, two pointers"
"March 30, 2025",3502,Minimum Cost to Reach Every Position,694.0,https://leetcode.com/problems/minimum-cost-to-reach-every-position/,Weekly Contest 443,array
"March 29, 2025",3501,Maximize Active Section with Trade II,2939.0,https://leetcode.com/problems/maximize-active-section-with-trade-ii/,Biweekly Contest 153,
"March 29, 2025",3500,Minimum Cost to Divide Array Into Subarrays,2499.0,https://leetcode.com/problems/minimum-cost-to-divide-array-into-subarrays/,Biweekly Contest 153,
"March 29, 2025",3499,Maximize Active Section with Trade I,1716.0,https://leetcode.com/problems/maximize-active-section-with-trade-i/,Biweekly Contest 153,
"March 29, 2025",3498,Reverse Degree of a String,405.0,https://leetcode.com/problems/reverse-degree-of-a-string/,Biweekly Contest 153,
"March 28, 2025",3497,Analyze Subscription Conversion,1941.0,https://leetcode.com/problems/analyze-subscription-conversion/,,database
"March 24, 2025",3496,Maximize Score After Pair Deletions,1933.0,https://leetcode.com/problems/maximize-score-after-pair-deletions/,,"array, greedy"
"March 23, 2025",3495,Minimum Operations to Make Array Elements Zero,2216.0,https://leetcode.com/problems/minimum-operations-to-make-array-elements-zero/,Weekly Contest 442,"array, bit manipulation, math"
"March 23, 2025",3494,Find the Minimum Amount of Time to Brew Potions,2033.0,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions/,Weekly Contest 442,"array, prefix sum, simulation"
"March 23, 2025",3493,Properties Graph,1500.0,https://leetcode.com/problems/properties-graph/,Weekly Contest 442,"array, breadth-first search, depth-first search, graph, hash table, union find"
"March 23, 2025",3492,Maximum Containers on a Ship,524.0,https://leetcode.com/problems/maximum-containers-on-a-ship/,Weekly Contest 442,math
"March 17, 2025",3491,Phone Number Prefix,1143.0,https://leetcode.com/problems/phone-number-prefix/,,
today,3490,Count Beautiful Numbers,2446.0,https://leetcode.com/problems/count-beautiful-numbers/,Weekly Contest 441,
today,3489,Zero Array Transformation IV,2025.0,https://leetcode.com/problems/zero-array-transformation-iv/,Weekly Contest 441,
today,3488,Closest Equal Element Queries,1599.0,https://leetcode.com/problems/closest-equal-element-queries/,Weekly Contest 441,
today,3487,Maximum Unique Subarray Sum After Deletion,854.0,https://leetcode.com/problems/maximum-unique-subarray-sum-after-deletion/,Weekly Contest 441,
yesterday,3486,Longest Special Path II,2821.0,https://leetcode.com/problems/longest-special-path-ii/,Biweekly Contest 152,
yesterday,3485,Longest Common Prefix of K Strings After Removal,2244.0,https://leetcode.com/problems/longest-common-prefix-of-k-strings-after-removal/,Biweekly Contest 152,
yesterday,3484,Design Spreadsheet,1402.0,https://leetcode.com/problems/design-spreadsheet/,Biweekly Contest 152,
yesterday,3483,Unique 3-Digit Even Numbers,882.0,https://leetcode.com/problems/unique-3-digit-even-numbers/,Biweekly Contest 152,
"March 11, 2025",3482,Analyze Organization Hierarchy,2613.0,https://leetcode.com/problems/analyze-organization-hierarchy/,,database
"March 11, 2025",3481,Apply Substitutions,1978.0,https://leetcode.com/problems/apply-substitutions/,,
"March 9, 2025",3480,Maximize Subarrays After Remo…ving One Conflicting Pair,2760.0,https://leetcode.com/problems/maximize-subarrays-after-removing-one-conflicting-pair/,Weekly Contest 440,"array, enumeration, prefix sum, segment tree"
"March 9, 2025",3479,Fruits Into Baskets III,2162.0,https://leetcode.com/problems/fruits-into-baskets-iii/,Weekly Contest 440,"array, binary search, ordered set, segment tree"
"March 9, 2025",3478,Choose K Elements With Maximum Sum,1648.0,https://leetcode.com/problems/choose-k-elements-with-maximum-sum/,Weekly Contest 440,"array, heap (priority queue), sorting"
"March 9, 2025",3477,Fruits Into Baskets II,706.0,https://leetcode.com/problems/fruits-into-baskets-ii/,Weekly Contest 440,"array, binary search, segment tree, simulation"
"March 4, 2025",3476,Maximize Profit from Task Assignment,1933.0,https://leetcode.com/problems/maximize-profit-from-task-assignment/,,"array, greedy, heap (priority queue), sorting"
"March 3, 2025",3475,DNA Pattern Recognition,1927.0,https://leetcode.com/problems/dna-pattern-recognition/,,database
"March 2, 2025",3474,Lexicographically Smallest Generated String,2586.0,https://leetcode.com/problems/lexicographically-smallest-generated-string/,Weekly Contest 439,"greedy, string, string matching"
"March 2, 2025",3473,Sum of K Subarrays With Length at Least M,2251.0,https://leetcode.com/problems/sum-of-k-subarrays-with-length-at-least-m/,Weekly Contest 439,"array, dynamic programming, prefix sum"
"March 2, 2025",3472,Longest Palindromic Subsequence A…fter at Most K Operations,1807.0,https://leetcode.com/problems/longest-palindromic-subsequence-after-at-most-k-operations/,Weekly Contest 439,"dynamic programming, string"
"March 2, 2025",3471,Find the Largest Almost Missing Integer,807.0,https://leetcode.com/problems/find-the-largest-almost-missing-integer/,Weekly Contest 439,"array, hash table"
"March 1, 2025",3470,Permutations IV,2496.0,https://leetcode.com/problems/permutations-iv/,Biweekly Contest 151,"array, combinatorics, enumeration, math"
"March 1, 2025",3469,Find Minimum Cost to Remove Array Elements,2115.0,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements/,Biweekly Contest 151,"array, dynamic programming"
"March 1, 2025",3468,Find the Number of Copy Arrays,1476.0,https://leetcode.com/problems/find-the-number-of-copy-arrays/,Biweekly Contest 151,"array, math"
"March 1, 2025",3467,Transform Array by Parity,640.0,https://leetcode.com/problems/transform-array-by-parity/,Biweekly Contest 151,"array, counting, sorting"
"Feb. 25, 2025",3466,Maximum Coin Collection,1929.0,https://leetcode.com/problems/maximum-coin-collection/,,
"Feb. 24, 2025",3465,Find Products with Valid Serial Numbers,1149.0,https://leetcode.com/problems/find-products-with-valid-serial-numbers/,,database
"Feb. 23, 2025",3464,Maximize the Distance Between Points on a Square,2790.0,https://leetcode.com/problems/maximize-the-distance-between-points-on-a-square/,Weekly Contest 438,"array, binary search, greedy"
"Feb. 23, 2025",3463,Check If Digits Are Equal in S…tring After Operations II,2298.0,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-ii/,Weekly Contest 438,"combinatorics, math, number theory, string"
"Feb. 23, 2025",3462,Maximum Sum With at Most K Elements,1334.0,https://leetcode.com/problems/maximum-sum-with-at-most-k-elements/,Weekly Contest 438,"array, greedy, heap (priority queue), matrix, sorting"
"Feb. 23, 2025",3461,Check If Digits Are Equal in …String After Operations I,656.0,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-i/,Weekly Contest 438,"combinatorics, math, number theory, simulation, string"
"Feb. 17, 2025",3460,Longest Common Prefix After at Most One Removal,1904.0,https://leetcode.com/problems/longest-common-prefix-after-at-most-one-removal/,,"string, two pointers"
"Feb. 16, 2025",3459,Length of Longest V-Shaped Diagonal Segment,2539.0,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment/,Weekly Contest 437,"array, dynamic programming, matrix, memoization"
"Feb. 16, 2025",3458,Select K Disjoint Special Substrings,2238.0,https://leetcode.com/problems/select-k-disjoint-special-substrings/,Weekly Contest 437,"dynamic programming, greedy, hash table, sorting, string"
"Feb. 16, 2025",3457,Eat Pizzas!,1683.0,https://leetcode.com/problems/eat-pizzas/,Weekly Contest 437,"array, greedy, sorting"
