Date,Problem Number,Problem Name,Problem Rating,Problem Link,Contest Name,Tags
"Dec. 1, 2024",3373,Maximize the Number of Ta…After Connecting Trees II,2163,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-ii/,Weekly Contest 426,"tree, depth-first search, breadth-first search"
"Nov. 9, 2024",3347,Maximum Frequency of an E…Performing Operations II,2121,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-ii/,Biweekly Contest 143,"array, binary search, sliding window, sorting, prefix sum"
"Oct. 13, 2024",3320,Count The Number of Winning Sequences,2103,https://leetcode.com/problems/count-the-number-of-winning-sequences/,Weekly Contest 419,"string, dynamic programming"
"Sept. 29, 2024",3306,Count of Substrings Conta…Vowel and K Consonants II,2190,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-ii/,Weekly Contest 417,"hash table, string, sliding window"
"June 16, 2024",3187,Peaks in Array,2170,https://leetcode.com/problems/peaks-in-array/,Weekly Contest 402,"array, binary indexed tree, segment tree"
"June 2, 2024",3171,Find Subarray With Bitwise OR Closest to K,2183,https://leetcode.com/problems/find-subarray-with-bitwise-or-closest-to-k/,Weekly Contest 400,"array, binary search, bit manipulation, segment tree"
"May 19, 2024",3154,Find Number of Ways to Reach the K-th Stair,2109,https://leetcode.com/problems/find-number-of-ways-to-reach-the-k-th-stair/,Weekly Contest 398,"math, dynamic programming, bit manipulation, memoization, combinatorics"
"April 27, 2024",3129,Find All Possible Stable Binary Arrays I,2188,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-i/,Biweekly Contest 129,"dynamic programming, prefix sum"
"April 21, 2024",3123,Find Edges in Shortest Paths,2107,https://leetcode.com/problems/find-edges-in-shortest-paths/,Weekly Contest 394,"depth-first search, breadth-first search, graph, heap (priority queue), shortest path"
"April 7, 2024",3108,Minimum Cost Walk in Weighted Graph,2122,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph/,Weekly Contest 392,"array, bit manipulation, union find, graph"
"March 24, 2024",3093,Longest Common Suffix Queries,2130,https://leetcode.com/problems/longest-common-suffix-queries/,Weekly Contest 390,"array, string, trie"
"Dec. 23, 2023",2972,Count the Number of Incremovable Subarrays II,2131,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii/,Biweekly Contest 120,"array, two pointers, binary search"
"Dec. 17, 2023",2967,Minimum Cost to Make Array Equalindromic,2125,https://leetcode.com/problems/minimum-cost-to-make-array-equalindromic/,Weekly Contest 376,"array, math, greedy, sorting"
"Nov. 19, 2023",2939,Maximum Xor Product,2125,https://leetcode.com/problems/maximum-xor-product/,Weekly Contest 372,"math, greedy, bit manipulation"
"Oct. 22, 2023",2910,Minimum Number of Groups…Create a Valid Assignment,2124,https://leetcode.com/problems/minimum-number-of-groups-to-create-a-valid-assignment/,Weekly Contest 368,"array, hash table, greedy"
"Oct. 15, 2023",2906,Construct Product Matrix,2104,https://leetcode.com/problems/construct-product-matrix/,Weekly Contest 367,"array, matrix, prefix sum"
"Aug. 6, 2023",2812,Find the Safest Path in a Grid,2157,https://leetcode.com/problems/find-the-safest-path-in-a-grid/,Weekly Contest 357,"array, binary search, breadth-first search, union find, matrix"
"June 25, 2023",2751,Robot Collisions,2103,https://leetcode.com/problems/robot-collisions/,Weekly Contest 351,"array, stack, sorting, simulation"
"June 25, 2023",2749,Minimum Operations to Make the Integer Zero,2157,https://leetcode.com/problems/minimum-operations-to-make-the-integer-zero/,Weekly Contest 351,"bit manipulation, brainteaser"
"May 27, 2023",2709,Greatest Common Divisor Traversal,2187,https://leetcode.com/problems/greatest-common-divisor-traversal/,Biweekly Contest 105,"array, math, union find, number theory"
"April 9, 2023",2616,Minimize the Maximum Difference of Pairs,2149,https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs/,Weekly Contest 340,"array, binary search, greedy"
"March 5, 2023",2584,Split the Array to Make Coprime Products,2197,https://leetcode.com/problems/split-the-array-to-make-coprime-products/,Weekly Contest 335,"array, hash table, math, number theory"
"Feb. 5, 2023",2560,House Robber IV,2104,https://leetcode.com/problems/house-robber-iv/,Weekly Contest 331,"array, binary search"
"Oct. 29, 2022",2454,Next Greater Element IV,2177,https://leetcode.com/problems/next-greater-element-iv/,Biweekly Contest 90,"array, binary search, stack, sorting, heap (priority queue), monotonic stack"
"Oct. 16, 2022",2444,Count Subarrays With Fixed Bounds,2119,https://leetcode.com/problems/count-subarrays-with-fixed-bounds/,Weekly Contest 315,"array, queue, sliding window, monotonic queue"
"Oct. 2, 2022",2430,Maximum Deletions on a String,2124,https://leetcode.com/problems/maximum-deletions-on-a-string/,Weekly Contest 313,"string, dynamic programming, rolling hash, string matching, hash function"
"Sept. 4, 2022",2402,Meeting Rooms III,2110,https://leetcode.com/problems/meeting-rooms-iii/,Weekly Contest 309,"array, sorting, heap (priority queue), hash table, simulation"
"Aug. 20, 2022",2382,Maximum Segment Sum After Removals,2144,https://leetcode.com/problems/maximum-segment-sum-after-removals/,Biweekly Contest 85,"array, union find, prefix sum, ordered set"
"Aug. 14, 2022",2376,Count Special Integers,2139,https://leetcode.com/problems/count-special-integers/,Weekly Contest 306,"math, dynamic programming"
"July 24, 2022",2354,Number of Excellent Pairs,2101,https://leetcode.com/problems/number-of-excellent-pairs/,Weekly Contest 303,"array, hash table, binary search, bit manipulation"
"June 25, 2022",2318,Number of Distinct Roll Sequences,2111,https://leetcode.com/problems/number-of-distinct-roll-sequences/,Biweekly Contest 81,"dynamic programming, memoization"
